epochs,returns
100,0.8891807359307359
200,0.8714884559884561
300,0.9083697691197691
400,0.8678347763347765
500,0.918596459096459
600,0.9201060606060605
700,0.9063383838383839
800,0.9183903318903319
900,0.906092352092352
1000,0.9265263347763347
1100,0.9281288156288156
1200,0.9177784992784993
1300,0.9067867965367965
1400,0.8806266233766233
1500,0.8969010711510711
1600,0.857378565878566
1700,0.9039676712176713
1800,0.911744005994006
1900,0.9129779942279943
2000,0.920876762126762
2100,0.8953255355755357
2200,0.9156785991785992
2300,0.9020616883116884
2400,0.901718253968254
2500,0.915869769119769
2600,0.9253167388167388
2700,0.897814935064935
2800,0.8743481240981241
2900,0.9237839105339105
3000,0.9266717171717173
