epochs,returns
100,-2.422650072150072
200,-2.405298340548341
300,-2.300040875790876
400,-2.544356671106671
500,-2.465583388833389
600,-2.345010878010878
700,-2.2655218392718393
800,-2.3177373737373737
900,-2.277383172383172
1000,-2.3438315295815295
1100,-2.4621626151626153
1200,-2.3187442834942833
1300,-2.3517189199689197
1400,-2.2700515873015874
1500,-2.362894466644467
1600,-2.30968475968476
1700,-2.2980690143190143
1800,-2.2904816017316016
1900,-2.3759238816738817
2000,-2.3999404761904763
2100,-2.270267010767011
2200,-2.3143900266400266
2300,-2.222690170940171
2400,-2.291057525807526
2500,-2.2731591464091467
2600,-2.260738872238872
2700,-2.4214938672438673
2800,-2.354358696858697
2900,-2.282026085026085
3000,-2.346999000999001
