epochs,returns
100,-2.2891676934176934
200,-2.2069002664002664
300,-2.290754329004329
400,-2.1538528138528137
500,-2.1826511544011544
600,-2.1141620324120325
700,-2.1240260850260855
800,-2.1988105783105785
900,-2.191801004551005
1000,-2.2036090576090577
1100,-2.199522005772006
1200,-2.258826229326229
1300,-2.2934556832056834
1400,-2.395807414807415
1500,-2.258599567099567
1600,-2.292333028083028
1700,-2.214510101010101
1800,-2.2654527972027974
1900,-2.18726221001221
2000,-2.1468724053724055
2100,-2.1993130203130202
2200,-2.182379564879565
2300,-2.082554834054834
2400,-2.14138184038184
2500,-2.200829614829615
2600,-2.222447691197691
2700,-2.198127344877345
2800,-2.517230158730159
2900,-2.336811383061383
3000,-2.1389707514707514
