epochs,returns
100,0.8787730880230878
200,0.8407067099567099
300,0.8810295815295816
400,0.9266067821067822
500,0.9165268342768342
600,0.9057142857142858
700,0.9169386724386724
800,0.9038273393273393
900,0.9284206349206349
1000,0.899137223887224
1100,0.9353644966144965
1200,0.9075854978354978
1300,0.8764168054168053
1400,0.9237893217893219
1500,0.9410854978354978
1600,0.9223600288600289
1700,0.9213233710733713
1800,0.8978720723720724
1900,0.9021942501942501
2000,0.8792483349983349
2100,0.911844905094905
2200,0.9064426684426684
2300,0.9113376623376622
2400,0.900753968253968
2500,0.8975544733044734
2600,0.8774747752247751
2700,0.9038492063492065
2800,0.9052075702075701
2900,0.9183066378066378
3000,0.9216367243867245
