epochs,returns
100,-2.479314518814519
200,-2.3943636086136086
300,-2.3597676767676767
400,-2.2818883338883342
500,-2.1851735764235762
600,-2.184564269064269
700,-2.409016761016761
800,-2.319455932955933
900,-2.2554340381840383
1000,-2.2340610223110224
1100,-2.1938903873903874
1200,-2.289777666777667
1300,-2.277327394827395
1400,-2.278273865023865
1500,-2.251929847929848
1600,-2.305210012210012
1700,-2.2071500721500725
1800,-2.196023448773449
1900,-2.1957459484959485
2000,-2.3294271839271836
2100,-2.445167998667999
2200,-2.216625596625597
2300,-2.284514124764125
2400,-2.2792331279831277
2500,-2.167727744477744
2600,-2.2370768953268954
2700,-2.372594461094461
2800,-2.175970529470529
2900,-2.223928266178266
3000,-2.2827240814740817
