epochs,returns
100,-2.4065252525252525
200,-2.492187950937951
300,-2.5504495504495504
400,-2.45712987012987
500,-2.3729246586746586
600,-2.413193833943834
700,-2.4804617604617603
800,-2.5200051060051063
900,-2.6255289710289715
1000,-2.3999508824508826
1100,-2.4187749472749474
1200,-2.4703020035520034
1300,-2.4530736485736484
1400,-2.3341635864135863
1500,-2.53123556998557
1600,-2.496739121989122
1700,-2.4592778332778336
1800,-2.513177183927184
1900,-2.520030774780775
2000,-2.5774736097236097
2100,-2.478601065601066
2200,-2.458764846264846
2300,-2.4231600344100346
2400,-2.4066292041292043
2500,-2.507781801531802
2600,-2.4083856976356977
2700,-2.5286714119214118
2800,-2.533992174492175
2900,-2.5984834054834054
3000,-2.4177567987567987
