epochs,returns
100,-2.477719030969031
200,-2.3470808635808633
300,-2.3214935064935065
400,-2.217837357087357
500,-2.29555488955489
600,-2.18917032967033
700,-2.3725683483183486
800,-2.3811649184149184
900,-2.33897582972583
1000,-2.3092438117438117
1100,-2.36246361971362
1200,-2.1777615995115993
1300,-2.227674603174603
1400,-2.4325270007770015
1500,-2.261824814074814
1600,-2.315479686979687
1700,-2.2971436896436894
1800,-2.2155866078366078
1900,-2.3597258297258294
2000,-2.4705513375513375
2100,-2.325332722832723
2200,-2.3440465367965366
2300,-2.2749561827061826
2400,-2.3756656954156954
2500,-2.3115180375180375
2600,-2.185193056943057
2700,-2.2306464646464645
2800,-2.294914502164502
2900,-2.3105137085137084
3000,-2.223002358752359
