epochs,returns
100,0.8287008547008547
200,0.8010095182595183
300,0.8955181762681764
400,0.9006269841269843
500,0.9190499222999223
600,0.8719222166722167
700,0.9163639971139973
800,0.8954642857142856
900,0.9281619769119769
1000,0.9058156565656565
1100,0.9377272727272729
1200,0.9243791486291486
1300,0.9084284881784882
1400,0.9176298701298701
1500,0.9043885281385282
1600,0.9044134199134198
1700,0.8209651737151737
1800,0.9098817016317017
1900,0.8962702020202019
2000,0.9414029581529582
2100,0.8944917304917306
2200,0.917208152958153
2300,0.8963113275613276
2400,0.8723719336219337
2500,0.8902443667443667
2600,0.9162994227994229
2700,0.9088831168831168
2800,0.926236790986791
2900,0.9309503552003552
3000,0.8914231601731601
