epochs,returns
100,0.8348982683982683
200,0.8363076645576646
300,0.8670009435009435
400,0.8571906149406151
500,0.8521136363636362
600,0.882011544011544
700,0.8651958874458873
800,0.8534134199134198
900,0.8804628427128427
1000,0.9284393939393939
1100,0.879995115995116
1200,0.9028655788655788
1300,0.8962510822510822
1400,0.9055660173160173
1500,0.88888455988456
1600,0.8594045954045952
1700,0.9222537462537462
1800,0.912267316017316
1900,0.9043109668109668
2000,0.8810790043290043
2100,0.9170717893217892
2200,0.9003899711399711
2300,0.9174080086580086
2400,0.8801989121989122
2500,0.9232709235209235
2600,0.9199339826839829
2700,0.8826611721611721
2800,0.9087067099567099
2900,0.9350429292929293
3000,0.8966756854256854
