epochs,returns
100,0.5345596348096348
200,0.7349458874458874
300,0.764296176046176
400,0.8309526584526585
500,0.8737738095238096
600,0.8451526251526252
700,0.884656204906205
800,0.8870238095238094
900,0.9049974747474748
1000,0.8959455266955265
1100,0.913007215007215
1200,0.8736051171051171
1300,0.9286994949494948
1400,0.9036363636363635
1500,0.8918760406260406
1600,0.9112247474747476
1700,0.8819346209346208
1800,0.9004920634920636
1900,0.9227265512265512
2000,0.8917340714840715
2100,0.9048091630591633
2200,0.9066718559218558
2300,0.9478167388167388
2400,0.9084368686868687
2500,0.8948787878787878
2600,0.9239217171717171
2700,0.9185875790875793
2800,0.9081699134199134
2900,0.910940836940837
3000,0.9229170274170273
