epochs,returns
100,0.8430708735708735
200,0.9061807359307359
300,0.8700627705627706
400,0.9087276334776334
500,0.8916797924297925
600,0.9056740204240206
700,0.8856991619491619
800,0.9040903263403263
900,0.9050266955266955
1000,0.9129127261627261
1100,0.9218077200577202
1200,0.9184256854256853
1300,0.9128041125541125
1400,0.9305346320346319
1500,0.9082572150072151
1600,0.8993149350649351
1700,0.9015097402597402
1800,0.9250501443001443
1900,0.9028737373737372
2000,0.9097771950271949
2100,0.9085840548340548
2200,0.8891650016650017
2300,0.9189444721944723
2400,0.898579365079365
2500,0.861518759018759
2600,0.8241338383838382
2700,0.9019491341991341
2800,0.8980375180375181
2900,0.9246154401154402
3000,0.9148668831168831
