epochs,returns
100,0.8127519702519702
200,0.8685317460317461
300,0.8804657287157286
400,0.8789489121989122
500,0.9248452380952381
600,0.9237394827394829
700,0.9201462426462428
800,0.8952907647907647
900,0.8666222943722943
1000,0.8437829947829948
1100,0.896752664002664
1200,0.9319030969030969
1300,0.9185463147963148
1400,0.8897606005106005
1500,0.9149512987012985
1600,0.8912274114774114
1700,0.9274466089466089
1800,0.9139668109668111
1900,0.8898113275613275
2000,0.9042142857142856
2100,0.935358225108225
2200,0.8948943001443002
2300,0.922668831168831
2400,0.9165357697857698
2500,0.8877551892551893
2600,0.917760101010101
2700,0.9291320346320348
2800,0.9135479797979797
2900,0.8928322510822511
3000,0.9300039682539682
