epochs,returns
100,0.8214307359307359
200,0.8873636641136642
300,0.9086529581529581
400,0.9118683261183261
500,0.8937635142635143
600,0.8912929292929292
700,0.9327016594516596
800,0.9239823232323231
900,0.8847810245310245
1000,0.8924557942057941
1100,0.8915452325452325
1200,0.9242201964701964
1300,0.8795380175380175
1400,0.9157777777777778
1500,0.923580808080808
1600,0.8614121156621156
1700,0.9370508658008657
1800,0.9042741702741702
1900,0.8722236652236651
2000,0.9090025252525252
2100,0.903950937950938
2200,0.8969585137085138
2300,0.9093210678210678
2400,0.9200220057720057
2500,0.9345901875901876
2600,0.8952738372738374
2700,0.9124191086691086
2800,0.8827669552669551
2900,0.9000252525252523
3000,0.8988279220779222
