epochs,returns
100,-2.35922804972805
200,-2.301118437118437
300,-2.338156315906316
400,-2.234029942279942
500,-2.3451724386724386
600,-2.2124318181818183
700,-2.363048756798757
800,-2.3172775280275277
900,-2.2954867632367635
1000,-2.2681242091242093
1100,-2.2878180153180154
1200,-2.303226662226662
1300,-2.331686535686536
1400,-2.3351959984459985
1500,-2.2896139971139973
1600,-2.282021811521812
1700,-2.3868715728715726
1800,-2.374076479076479
1900,-2.3209235764235765
2000,-2.327695637695638
2100,-2.2067302142302143
2200,-2.335657398157398
2300,-2.2636760461760463
2400,-2.3185210345210345
2500,-2.3163510101010103
2600,-2.30357215007215
2700,-2.3030891608391606
2800,-2.3333932733932734
2900,-2.3724891219891218
3000,-2.348806332556333
