epochs,returns
100,-2.2826562604062604
200,-2.3776837606837606
300,-2.2991435786435788
400,-2.3345667943167943
500,-2.4039949494949497
600,-2.4466881451881455
700,-2.3566685814185813
800,-2.4276368353868354
900,-2.2936765456765458
1000,-2.3701854811854814
1100,-2.2415377122877125
1200,-2.3529505772005774
1300,-2.19181240981241
1400,-2.214593018093018
1500,-2.0963353868353867
1600,-2.14781968031968
1700,-2.2682908202908205
1800,-2.2659377289377285
1900,-2.2999333166833167
2000,-2.249306748806749
2100,-2.201496003996004
2200,-2.1674529914529916
2300,-2.1800866355866355
2400,-2.188028554778555
2500,-2.3312359862359857
2600,-2.185789266289266
2700,-2.391024225774226
2800,-2.2962424242424238
2900,-2.210480574980575
3000,-2.143207792207792
