epochs,returns
100,0.8368417970917971
200,0.8818069985569985
300,0.8673007825507826
400,0.898901875901876
500,0.8900981240981239
600,0.908045732045732
700,0.8935523365523366
800,0.8928976856476857
900,0.91008658008658
1000,0.907994227994228
1100,0.9510097402597402
1200,0.9224552669552669
1300,0.9435832500832501
1400,0.9150138472638473
1500,0.9296969696969697
1600,0.9236551226551226
1700,0.9068644966144965
1800,0.877323593073593
1900,0.9186630591630592
2000,0.9090591630591631
2100,0.9038701298701298
2200,0.915797286047286
2300,0.9211898934398934
2400,0.9300541125541126
2500,0.9341767954267955
2600,0.9130335497835498
2700,0.9137082917082917
2800,0.9393560606060608
2900,0.9321309523809524
3000,0.9503903318903317
