epochs,returns
100,-2.591520368520368
200,-2.4680978743478743
300,-2.516149711399711
400,-2.4196746586746585
500,-2.589652403152403
600,-2.562476356976357
700,-2.6038095238095242
800,-2.4086916694416693
900,-2.433484959484959
1000,-2.516360445110445
1100,-2.4874444999445
1200,-2.457588494838495
1300,-2.5548468475968478
1400,-2.437083971583972
1500,-2.466203934953935
1600,-2.5709012099012103
1700,-2.438977577977578
1800,-2.466442696192696
1900,-2.4885149017649018
2000,-2.504431929181929
2100,-2.41271558996559
2200,-2.5349322899322897
2300,-2.358438256188256
2400,-2.7116971361971363
2500,-2.5385051060051063
2600,-2.4916790431790434
2700,-2.5527641247641246
2800,-2.3636533744033748
2900,-2.3984330669330673
3000,-2.605490675990676
